onset	duration	stimulus
0.0	1.992	
1.992	14.008	daughter
16.0	14.0	wife
30.0	14.0	father
44.0	14.0	four
58.0	14.0	child
72.0	14.0	six
86.0	14.0	father
100.0	14.0	wife
114.0	14.0	four
128.0	14.0	four
142.0	14.0	six
156.0	14.0	ten
170.0	14.0	six
184.0	14.0	four
198.0	14.0	three
212.0	14.0	daughter
226.0	14.0	six
240.0	14.0	ten
254.0	14.0	child
268.0	14.0	six
282.0	14.0	wife
296.0	14.0	wife
310.0	14.0	wife
324.0	14.0	ten
338.0	14.0	ten
352.0	14.003	child
366.003	13.997	daughter
380.0	14.0	daughter
394.0	14.0	six
408.0	14.0	ten
422.0	14.0	ten
436.0	14.0	child
450.0	14.0	ten
464.0	14.0	daughter
478.0	14.0	six
492.0	14.0	father
506.0	14.0	wife
520.0	14.0	daughter
534.0	14.0	father
548.0	14.0	four
562.0	14.0	father
576.0	14.0	four
590.0	14.001	father
604.001	13.999	three
618.0	14.002	daughter
632.002	13.998	six
646.0	14.0	three
660.0	14.0	three
674.0	14.0	three
688.0	14.0	daughter
702.0	14.0	wife
716.0	14.0	three
730.0	14.0	child
744.0	14.0	child
758.0	14.0	six
772.0	14.0	father
786.0	14.0	father
800.0	14.0	wife
814.0	14.0	daughter
828.0	14.0	wife
842.0	14.0	three
856.0	14.0	daughter
870.0	14.0	three
884.0	14.0	three
898.0	14.0	daughter
912.0	14.0	daughter
926.0	14.0	three
940.0	14.0	child
954.0	14.0	ten
968.0	14.0	wife
982.0	14.0	ten
996.0	14.0	father
1010.0	14.0	ten
1024.0	14.0	six
1038.0	14.0	father
1052.0	14.0	child
1066.0	14.0	child
1080.0	13.999	wife
1093.999	14.0	child
1107.999	14.0	ten
1121.999	14.0	father
1135.999	14.0	six
1149.999	14.0	child
1163.999	14.0	father
1177.999	14.0	child
1191.999	14.0	three
1205.999	14.0	six
1219.999	14.0	ten
1233.999	14.0	four
1247.999	14.0	wife
1261.999	14.0	four
1275.999	14.0	father
1289.999	14.0	child
1303.999	14.0	six
1317.999	14.0	six
1331.999	14.0	six
1345.999	14.0	ten
1359.999	14.0	ten
1373.999	14.0	four
1387.999	14.0	father
1401.999	14.0	four
1415.999	14.0	four
1429.999	14.0	four
1443.999	14.0	three
1457.999	14.0	four
1471.999	14.0	father
1485.999	14.0	four
1499.999	14.0	child
1513.999	14.0	wife
1527.999	14.0	four
1541.999	14.0	four
1555.999	14.0	four
1569.999	14.0	three
1583.999	14.0	daughter
1597.999	14.0	child
1611.999	14.0	daughter
1625.999	14.0	daughter
1639.999	14.0	father
1653.999	14.0	daughter
1667.999	14.0	three
1681.999	14.0	six
1695.999	14.0	wife
1709.999	14.0	father
1723.999	14.0	six
1737.999	14.0	daughter
1751.999	14.0	child
1765.999	14.0	wife
1779.999	14.0	three
1793.999	14.0	four
1807.999	14.0	father
1821.999	14.0	three
1835.999	14.0	daughter
1849.999	14.0	wife
1863.999	14.0	ten
1877.999	14.0	ten
1891.999	14.0	six
1905.999	14.0	three
1919.999	14.0	four
1933.999	14.0	three
1947.999	14.0	wife
1961.999	14.0	father
1975.999	14.0	ten
1989.999	14.0	three
2003.999	14.0	six
2017.999	14.0	ten
2031.999	14.0	ten
2045.999	14.0	four
2059.999	14.0	daughter
2073.999	14.0	wife
2087.999	14.0	child
2101.999	14.0	father
2115.999	14.0	six
2129.999	14.0	child
2143.999	14.0	daughter
2157.999	14.0	child
2171.999	14.0	child
2185.999	14.0	ten
2199.999	14.0	three
2213.999	14.0	wife
2227.999	14.0	wife
