Stimulus	Onset	Duration
NA	0.0	1.992
four	1.992	14.0
child	15.992	14.0
father	29.992	13.999
father	43.991	14.0
child	57.991	14.001
ten	71.992	14.0
wife	85.992	14.0
father	99.992	14.0
child	113.992	13.999
six	127.991	14.0
four	141.991	14.0
wife	155.991	14.001
four	169.992	13.999
six	183.991	14.0
six	197.991	14.001
ten	211.992	14.0
child	225.992	13.999
six	239.991	14.0
three	253.991	14.0
three	267.991	14.0
four	281.991	14.0
wife	295.991	14.0
six	309.991	14.0
child	323.991	14.002
daughter	337.993	13.998
child	351.991	14.0
child	365.991	14.0
child	379.991	14.0
four	393.991	14.0
three	407.991	14.0
daughter	421.991	14.0
ten	435.991	14.0
six	449.991	14.0
father	463.991	14.0
three	477.991	14.0
ten	491.991	14.0
daughter	505.991	14.0
six	519.991	14.0
four	533.991	14.0
ten	547.991	14.0
four	561.991	14.0
father	575.991	14.0
daughter	589.991	14.0
wife	603.991	14.0
ten	617.991	14.0
three	631.991	14.0
father	645.991	14.0
three	659.991	14.0
wife	673.991	14.0
father	687.991	14.0
wife	701.991	14.0
four	715.991	14.0
father	729.991	14.0
six	743.991	14.0
child	757.991	14.0
four	771.991	14.0
six	785.991	14.0
wife	799.991	14.0
ten	813.991	14.0
wife	827.991	14.0
ten	841.991	14.0
wife	855.991	14.0
ten	869.991	14.0
daughter	883.991	14.0
father	897.991	14.0
three	911.991	14.0
three	925.991	14.0
child	939.991	14.0
child	953.991	14.0
ten	967.991	14.0
six	981.991	14.0
six	995.991	14.0
ten	1009.991	14.0
six	1023.991	14.0
four	1037.991	14.0
six	1051.991	14.0
father	1065.991	14.0
wife	1079.991	14.0
four	1093.991	14.001
daughter	1107.992	13.999
four	1121.991	14.0
wife	1135.991	14.0
father	1149.991	14.0
ten	1163.991	14.0
daughter	1177.991	14.0
six	1191.991	14.0
three	1205.991	14.0
ten	1219.991	14.0
father	1233.991	14.0
wife	1247.991	13.999
father	1261.99	14.001
six	1275.991	14.0
ten	1289.991	13.999
wife	1303.99	14.0
wife	1317.99	14.001
three	1331.991	14.0
wife	1345.991	13.999
six	1359.99	14.0
daughter	1373.99	14.0
daughter	1387.99	14.001
four	1401.991	13.999
three	1415.99	14.0
four	1429.99	14.0
wife	1443.99	14.0
six	1457.99	14.0
daughter	1471.99	14.0
child	1485.99	14.0
child	1499.99	14.0
daughter	1513.99	14.0
six	1527.99	14.0
three	1541.99	14.001
child	1555.991	13.999
daughter	1569.99	14.0
three	1583.99	14.0
daughter	1597.99	14.0
father	1611.99	14.0
daughter	1625.99	14.0
four	1639.99	14.0
father	1653.99	14.0
daughter	1667.99	14.0
three	1681.99	14.0
daughter	1695.99	14.0
ten	1709.99	14.0
child	1723.99	14.0
three	1737.99	14.0
three	1751.99	14.0
three	1765.99	14.0
father	1779.99	14.0
child	1793.99	14.0
six	1807.99	14.0
child	1821.99	14.0
ten	1835.99	14.0
four	1849.99	14.0
child	1863.99	14.0
four	1877.99	14.0
three	1891.99	14.0
daughter	1905.99	14.0
ten	1919.99	14.0
child	1933.99	14.0
wife	1947.99	14.0
wife	1961.99	14.0
daughter	1975.99	14.0
father	1989.99	14.0
ten	2003.99	14.0
father	2017.99	14.0
three	2031.99	14.0
ten	2045.99	14.0
daughter	2059.99	14.0
wife	2073.99	14.0
ten	2087.99	14.0
four	2101.99	14.0
four	2115.99	14.0
six	2129.99	14.0
daughter	2143.99	14.0
wife	2157.99	14.0
father	2171.99	14.0
child	2185.99	14.0
three	2199.99	14.0
four	2213.99	14.0
father	2227.99	14.0
