onset	TRIAL_TYPE
1	child
7	wife
14	wife
20	father
27	father
33	father
40	wife
46	six
53	father
59	wife
66	father
72	daughter
79	wife
85	three
92	child
98	child
105	daughter
111	father
118	three
124	four
131	daughter
137	ten
144	ten
150	three
156	four
163	three
169	four
176	wife
182	six
189	three
195	three
202	six
208	three
215	father
221	daughter
228	six
234	wife
241	four
247	three
254	wife
260	ten
267	child
273	child
280	six
286	three
293	four
299	six
306	three
312	ten
319	four
325	father
331	ten
338	ten
344	child
351	wife
357	father
364	father
370	three
377	daughter
383	father
390	four
396	six
403	wife
409	child
416	ten
422	six
429	six
435	daughter
442	child
448	wife
455	wife
461	daughter
468	three
474	wife
481	six
487	six
494	ten
500	father
506	ten
513	daughter
519	six
526	four
532	wife
539	father
545	six
552	daughter
558	three
565	three
571	ten
578	four
584	six
591	wife
597	daughter
604	six
610	child
617	four
623	child
630	ten
636	four
643	ten
649	ten
656	four
662	child
669	child
675	ten
681	three
688	father
694	four
701	wife
707	daughter
714	daughter
720	daughter
727	daughter
733	child
740	six
746	six
753	child
759	wife
766	ten
772	four
779	daughter
785	daughter
792	three
798	six
805	ten
811	daughter
818	ten
824	child
831	three
837	three
844	father
850	six
856	three
863	three
869	child
876	ten
882	daughter
889	four
895	four
902	child
908	wife
915	father
921	father
928	child
934	father
941	child
947	four
954	four
960	wife
967	six
973	daughter
980	father
986	wife
993	four
999	father
1006	four
1012	child
1019	ten
1025	daughter
1031	ten
