Stimulus	Onset	Duration
NA	0.0	1.993
three	1.993	13.998
child	15.991	14.0
daughter	29.991	14.001
child	43.992	14.001
ten	57.993	13.998
ten	71.991	14.0
six	85.991	14.0
father	99.991	14.003
daughter	113.994	13.997
four	127.991	14.0
wife	141.991	14.0
four	155.991	14.0
father	169.991	14.0
three	183.991	14.0
six	197.991	14.0
three	211.991	14.0
child	225.991	14.0
child	239.991	14.0
wife	253.991	14.0
ten	267.991	14.0
three	281.991	14.0
six	295.991	14.0
daughter	309.991	14.0
wife	323.991	14.0
wife	337.991	14.0
six	351.991	14.0
wife	365.991	14.0
daughter	379.991	14.0
child	393.991	14.0
four	407.991	14.0
child	421.991	14.0
six	435.991	14.0
wife	449.991	14.0
four	463.991	14.0
daughter	477.991	14.0
wife	491.991	14.0
child	505.991	14.002
wife	519.993	14.008
wife	534.001	13.992
three	547.993	13.998
four	561.991	14.0
three	575.991	14.0
father	589.991	14.0
daughter	603.991	14.0
four	617.991	14.0
ten	631.991	14.0
wife	645.991	14.0
three	659.991	14.0
three	673.991	14.01
father	688.001	13.99
three	701.991	14.0
child	715.991	14.0
daughter	729.991	14.0
father	743.991	14.0
daughter	757.991	14.0
ten	771.991	14.0
four	785.991	14.002
wife	799.993	13.998
child	813.991	14.0
father	827.991	14.008
ten	841.999	13.992
father	855.991	14.0
daughter	869.991	14.0
four	883.991	14.0
three	897.991	14.0
father	911.991	14.0
three	925.991	13.999
daughter	939.99	14.001
father	953.991	13.999
child	967.99	14.001
ten	981.991	13.999
six	995.99	14.001
six	1009.991	13.999
father	1023.99	14.002
six	1037.992	13.999
ten	1051.991	13.999
ten	1065.99	14.001
father	1079.991	13.999
daughter	1093.99	14.0
wife	1107.99	14.0
three	1121.99	14.0
child	1135.99	14.0
ten	1149.99	14.0
father	1163.99	14.0
four	1177.99	14.0
six	1191.99	14.0
wife	1205.99	14.0
daughter	1219.99	14.0
ten	1233.99	14.0
ten	1247.99	14.0
four	1261.99	14.0
ten	1275.99	14.0
daughter	1289.99	14.0
daughter	1303.99	14.0
six	1317.99	14.0
father	1331.99	14.009
wife	1345.999	13.992
wife	1359.991	13.999
four	1373.99	14.0
ten	1387.99	14.0
father	1401.99	14.0
six	1415.99	14.0
three	1429.99	14.0
wife	1443.99	14.0
ten	1457.99	14.0
six	1471.99	14.0
father	1485.99	14.011
child	1500.001	13.989
six	1513.99	14.0
wife	1527.99	14.0
three	1541.99	14.0
six	1555.99	14.0
wife	1569.99	14.0
ten	1583.99	14.0
child	1597.99	14.0
six	1611.99	14.0
three	1625.99	14.0
six	1639.99	14.0
four	1653.99	14.0
six	1667.99	14.0
father	1681.99	14.0
daughter	1695.99	14.001
six	1709.991	13.999
daughter	1723.99	14.002
daughter	1737.992	13.998
three	1751.99	14.0
four	1765.99	14.0
four	1779.99	14.0
three	1793.99	14.002
father	1807.992	13.998
three	1821.99	14.0
four	1835.99	14.0
daughter	1849.99	14.0
four	1863.99	14.0
ten	1877.99	14.008
child	1891.998	13.993
wife	1905.991	13.999
child	1919.99	14.0
father	1933.99	14.0
three	1947.99	13.999
four	1961.989	14.0
four	1975.989	14.0
child	1989.989	14.0
father	2003.989	14.0
four	2017.989	14.0
daughter	2031.989	14.001
three	2045.99	14.0
ten	2059.99	13.999
six	2073.989	14.003
four	2087.992	13.999
father	2101.991	13.999
child	2115.99	13.999
child	2129.989	14.0
wife	2143.989	14.0
child	2157.989	14.0
ten	2171.989	14.0
ten	2185.989	14.0
daughter	2199.989	14.0
child	2213.989	14.0
six	2227.989	14.0
