Stimulus	Onset	Duration
NA	0.0	1.992
daughter	1.992	14.0
father	15.992	14.0
four	29.992	14.0
child	43.992	14.0
father	57.992	14.0
ten	71.992	14.0
daughter	85.992	14.0
daughter	99.992	14.0
four	113.992	14.0
four	127.992	14.0
father	141.992	13.999
ten	155.991	14.001
six	169.992	13.999
three	183.991	14.001
father	197.992	13.999
six	211.991	14.0
ten	225.991	14.0
wife	239.991	14.0
wife	253.991	14.001
daughter	267.992	13.999
daughter	281.991	14.001
father	295.992	14.0
child	309.992	13.999
six	323.991	14.009
four	338.0	14.0
child	352.0	13.991
ten	365.991	14.0
three	379.991	14.011
ten	394.002	13.989
daughter	407.991	14.0
wife	421.991	14.0
daughter	435.991	14.0
ten	449.991	14.01
four	464.001	13.99
father	477.991	14.0
child	491.991	14.0
daughter	505.991	14.0
child	519.991	14.0
six	533.991	14.009
wife	548.0	13.991
ten	561.991	14.002
four	575.993	14.007
child	590.0	13.991
four	603.991	14.0
six	617.991	14.0
six	631.991	14.0
child	645.991	14.0
three	659.991	14.0
three	673.991	14.0
wife	687.991	14.0
daughter	701.991	14.0
three	715.991	14.0
wife	729.991	14.0
four	743.991	14.0
four	757.991	14.0
ten	771.991	14.011
father	786.002	13.989
three	799.991	14.0
three	813.991	14.0
father	827.991	14.0
child	841.991	14.002
six	855.993	13.998
four	869.991	14.0
wife	883.991	14.0
father	897.991	14.0
three	911.991	14.0
three	925.991	14.0
three	939.991	14.0
child	953.991	14.0
father	967.991	14.002
father	981.993	13.998
six	995.991	14.0
wife	1009.991	14.0
ten	1023.991	14.0
ten	1037.991	14.0
ten	1051.991	14.0
wife	1065.991	14.0
six	1079.991	14.0
daughter	1093.991	14.0
six	1107.991	14.0
six	1121.991	14.0
four	1135.991	14.0
child	1149.991	14.0
four	1163.991	14.0
child	1177.991	14.0
father	1191.991	14.0
daughter	1205.991	14.0
four	1219.991	14.0
four	1233.991	14.0
four	1247.991	14.0
six	1261.991	14.0
six	1275.991	14.0
six	1289.991	14.008
child	1303.999	13.991
four	1317.99	14.001
child	1331.991	14.0
ten	1345.991	14.0
child	1359.991	14.0
child	1373.991	14.0
six	1387.991	13.999
wife	1401.99	14.001
child	1415.991	13.999
ten	1429.99	14.0
three	1443.99	14.0
ten	1457.99	14.011
ten	1472.001	13.989
three	1485.99	14.0
ten	1499.99	14.0
wife	1513.99	14.0
three	1527.99	14.0
three	1541.99	14.0
daughter	1555.99	14.0
ten	1569.99	14.003
wife	1583.993	13.997
ten	1597.99	14.0
child	1611.99	14.0
father	1625.99	14.0
daughter	1639.99	14.0
daughter	1653.99	14.0
wife	1667.99	14.009
four	1681.999	13.991
four	1695.99	14.011
wife	1710.001	13.991
father	1723.992	13.998
child	1737.99	14.0
daughter	1751.99	14.001
child	1765.991	13.999
father	1779.99	14.0
four	1793.99	14.0
father	1807.99	14.0
three	1821.99	14.0
ten	1835.99	14.0
daughter	1849.99	14.0
ten	1863.99	14.0
wife	1877.99	14.0
wife	1891.99	14.01
six	1906.0	13.99
three	1919.99	14.0
daughter	1933.99	14.0
wife	1947.99	14.0
father	1961.99	14.0
child	1975.99	14.0
six	1989.99	14.0
daughter	2003.99	14.0
three	2017.99	14.0
three	2031.99	14.0
wife	2045.99	14.0
daughter	2059.99	14.0
father	2073.99	14.0
six	2087.99	14.01
four	2102.0	13.99
three	2115.99	14.001
father	2129.991	13.999
six	2143.99	14.0
six	2157.99	14.0
wife	2171.99	14.0
father	2185.99	14.0
three	2199.99	14.0
wife	2213.99	14.011
daughter	2228.001	14.0
